date,inst,vlmbase,varbase,volume,variance
7/11/2015,6M,29160.4728,2551.898079,29160.4728,2551.898079
7/11/2015,6N,16501.35589,4598.939278,16501.35589,4598.939278
7/11/2015,6S,18029.57096,9162.208773,18029.57096,9162.208773
7/11/2015,CL,300784.1199,23468.08541,300784.1199,23468.08541
7/11/2015,EMD,15286.94646,12405.08268,15286.94646,12405.08268
7/11/2015,ES,1329529.605,8494.190009,1329529.605,8494.190009
7/11/2015,GC,103577.1485,12579.0757,103577.1485,12579.0757
7/11/2015,GE,1004850.07,261.5118051,1004850.07,261.5118051
7/11/2015,GF,6151.657143,5375.478573,6151.657143,5375.478573
7/11/2015,HE,21510.65192,1806.367148,21510.65192,1806.367148
7/11/2015,HG,45825.24615,7327.735795,45825.24615,7327.735795
7/11/2015,HO,45138.92774,110792.3898,45138.92774,110792.3898
7/11/2015,KE,14690.84003,2002.306555,14690.84003,2002.306555
7/11/2015,LE,28356.87301,2131.236042,28356.87301,2131.236042
7/11/2015,NG,112071.2893,5644.370577,112071.2893,5644.370577
7/11/2015,NQ,203126.2628,30802.93015,203126.2628,30802.93015
7/11/2015,PA,3468.348898,43620.64179,3468.348898,43620.64179
7/11/2015,PL,9782.617266,15172.82598,9782.617266,15172.82598
7/11/2015,RB,43014.57305,123030.8677,43014.57305,123030.8677
7/11/2015,SI,34300.00216,4289.051309,34300.00216,4289.051309
7/11/2015,UB,74090.6917,4442.655898,74090.6917,4442.655898
7/11/2015,YM,134106.7389,24588.36603,134106.7389,24588.36603
7/11/2015,ZB,216322.9066,3430.643999,216322.9066,3430.643999
7/11/2015,ZC,197775.1943,967.0857282,197775.1943,967.0857282
7/11/2015,ZF,515985.1584,2458.319784,515985.1584,2458.319784
7/11/2015,ZL,60440.50958,2633.958125,60440.50958,2633.958125
7/11/2015,ZM,54808.71072,3052.678373,54808.71072,3052.678373
7/11/2015,ZN,1022742.767,1998.258255,1022742.767,1998.258255
7/11/2015,ZS,131359.732,3134.63404,131359.732,3134.63404
7/11/2015,ZT,213268.9263,150.5826644,213268.9263,150.5826644
7/11/2015,ZW,77863.30963,2684.484483,77863.30963,2684.484483
7/13/2015,6A,76235.01217,7759.497163,76862.56964,7775.217452
7/13/2015,6B,80417.95428,11833.72099,81583.31824,11857.73963
7/13/2015,6C,56261.53347,4646.676537,56261.53347,4646.676537
7/13/2015,6E,222379.1871,15807.10709,222442.2106,15822.37401
7/13/2015,6J,111649.7886,6232.370028,112483.3787,6232.370028
7/13/2015,6M,29011.57572,2541.399866,29664.42153,2541.399866
7/13/2015,6N,16552.63744,4591.019433,16857.03801,4601.257884
7/13/2015,6S,18150.55621,9166.366793,18159.02105,9166.366793
7/13/2015,CL,300736.6556,23469.66262,300736.6556,23469.66262
7/13/2015,EMD,15328.68479,12467.31891,15328.68479,12516.30906
7/13/2015,ES,1335716.831,8556.221788,1343639.548,8609.704293
7/13/2015,GC,103020.1471,12498.57688,103886.9829,12566.94195
7/13/2015,GE,1017337.939,262.6963605,1031545.711,264.5867216
7/13/2015,GF,5350.823973,4764.545174,5569.79201,4764.545174
7/13/2015,HE,19175.29013,1516.253246,19916.09804,1548.110915
7/13/2015,HG,45547.30299,7351.919138,45547.30299,7365.219282
7/13/2015,HO,45103.52405,110888.5441,45103.52405,110888.5441
7/13/2015,KE,14690.84003,2002.306555,16485.58185,2151.802779
7/13/2015,LE,25213.55198,1810.298003,25773.13085,1836.517658
7/13/2015,NG,111998.1894,5614.514721,111998.1894,5614.514721
7/13/2015,NQ,203901.8289,30859.13651,207000.7663,31156.45205
7/13/2015,PA,3477.133258,44356.86827,3505.750603,45206.79786
7/13/2015,PL,9757.572399,15257.1962,9855.045018,15258.39521
7/13/2015,RB,43236.0298,124398.6824,43236.0298,124398.6824
7/13/2015,SI,34032.66697,4263.065722,34228.01935,4266.710422
7/13/2015,UB,74368.70435,4473.17017,74455.09702,4494.753719
7/13/2015,YM,134691.7153,24670.90105,136774.5776,24864.81689
7/13/2015,ZB,218914.2198,3470.884549,218914.2198,3479.663859
7/13/2015,ZC,197775.1943,967.0857282,211216.7072,1006.584208
7/13/2015,ZF,518344.6582,2481.033141,518344.6582,2488.513262
7/13/2015,ZL,60440.50958,2633.958125,63845.31342,2734.024298
7/13/2015,ZM,54808.71072,3052.678373,58286.54226,3138.696874
7/13/2015,ZN,1028239.147,2023.486556,1028239.147,2025.257202
7/13/2015,ZS,131359.732,3134.63404,138043.6151,3218.724787
7/13/2015,ZT,214743.6754,151.7693294,214743.6754,152.7888974
7/13/2015,ZW,77863.30963,2684.484483,84983.95281,2815.057945
7/14/2015,6A,76235.01217,7759.497163,98605.88136,9557.816876
7/14/2015,6B,80417.95428,11833.72099,112901.4074,16884.5695
7/14/2015,6C,56261.53347,4646.676537,73165.79418,6621.80901
7/14/2015,6E,222379.1871,15807.10709,308118.1571,20271.00006
7/14/2015,6J,111649.7886,6232.370028,158083.3242,7529.85164
7/14/2015,6M,29011.57572,2541.399866,38264.02215,3258.7424
7/14/2015,6N,16552.63744,4591.019433,24138.43662,6016.580464
7/14/2015,6S,18150.55621,9166.366793,23765.99728,11673.4746
7/14/2015,CL,300736.6556,23469.66262,300736.6556,23469.66262
7/14/2015,EMD,15328.68479,12467.31891,16423.17089,13637.20974
7/14/2015,ES,1335716.831,8556.221788,1459285.188,9164.326905
